date,Area_name,Diff_Altitude,Water_level,flood_level,Flood_Risk_Class
31-01-2000,Andhra Pradesh,262.390537,0.388366149,22.18831837,Low
29-02-2000,Andhra Pradesh,200.9966582,8.350903889,14.01799923,Low
31-03-2000,Andhra Pradesh,269.6111735,4.710093168,11.09623046,Low
30-04-2000,Andhra Pradesh,36.86440679,19.75789839,19.58670942,High
31-05-2000,Andhra Pradesh,200.6923309,9.548662614,19.47618544,Low
30-06-2000,Andhra Pradesh,246.0233474,0.26294229,23.9471594,Low
31-07-2000,Andhra Pradesh,174.4292986,16.67272839,20.9785478,Low
31-08-2000,Andhra Pradesh,227.2661511,8.580685847,19.80276814,Low
30-09-2000,Andhra Pradesh,286.6165802,11.23165311,20.85176766,Low
31-10-2000,Andhra Pradesh,210.713231,18.17512319,19.10297963,Low
30-11-2000,Andhra Pradesh,83.32704542,2.640951548,13.3427475,Low
31-12-2000,Andhra Pradesh,247.7801493,3.487156829,19.37466756,Low
31-01-2001,Andhra Pradesh,168.2165068,12.81310905,17.7620703,Low
28-02-2001,Andhra Pradesh,110.8797254,19.86558964,10.84884002,High
31-03-2001,Andhra Pradesh,253.4112623,0.709850135,24.88464066,Low
30-04-2001,Andhra Pradesh,128.0238078,13.33986975,17.83156689,Low
31-05-2001,Andhra Pradesh,231.1440579,7.197961926,11.66017126,Low
30-06-2001,Andhra Pradesh,58.93092275,13.22279504,14.94102763,Low
31-07-2001,Andhra Pradesh,165.4251778,3.280841814,19.83567797,Low
31-08-2001,Andhra Pradesh,260.2487347,14.21111758,12.31897333,High
30-09-2001,Andhra Pradesh,33.85628997,17.63174641,19.32781735,Low
31-10-2001,Andhra Pradesh,229.7445256,2.104384141,21.34924763,Low
30-11-2001,Andhra Pradesh,189.342067,9.807928409,15.72199307,Low
31-12-2001,Andhra Pradesh,185.7436714,18.32392294,14.78139249,High
31-01-2002,Andhra Pradesh,51.84921004,19.82802245,13.12547207,High
28-02-2002,Andhra Pradesh,70.3197312,18.51152687,22.43405396,Low
31-03-2002,Andhra Pradesh,89.10384358,15.71626062,22.49760819,Low
30-04-2002,Andhra Pradesh,149.8348919,4.110561854,23.80728132,Low
31-05-2002,Andhra Pradesh,240.8933216,3.186118426,19.46334242,Low
30-06-2002,Andhra Pradesh,110.3463054,6.581634895,18.4929228,Low
31-07-2002,Andhra Pradesh,38.90535808,0.758575705,22.28838903,Low
31-08-2002,Andhra Pradesh,162.0911278,11.44663431,16.35563729,Low
30-09-2002,Andhra Pradesh,138.7434804,6.336420508,21.71314322,Low
31-10-2002,Andhra Pradesh,150.0076531,6.998678032,17.6164702,Low
30-11-2002,Andhra Pradesh,200.0830129,7.172773697,17.82312098,Low
31-12-2002,Andhra Pradesh,198.8663829,11.88570386,16.09253979,Low
31-01-2003,Andhra Pradesh,126.6468778,19.0065097,16.5028741,High
28-02-2003,Andhra Pradesh,260.8451418,17.03958653,22.72544998,Low
31-03-2003,Andhra Pradesh,213.2101015,9.83955225,22.79659127,Low
30-04-2003,Andhra Pradesh,26.12181881,1.054397724,12.60683477,Low
31-05-2003,Andhra Pradesh,280.8043752,8.84646674,17.90930778,Low
30-06-2003,Andhra Pradesh,70.3123821,11.11870871,21.17424554,Low
31-07-2003,Andhra Pradesh,65.46707719,11.27342247,14.42640233,Low
31-08-2003,Andhra Pradesh,101.5898161,13.80273065,19.07415236,Low
30-09-2003,Andhra Pradesh,1.430590688,16.11549572,19.06094439,Low
31-10-2003,Andhra Pradesh,247.454589,10.1234434,13.07928255,Low
30-11-2003,Andhra Pradesh,31.54710993,1.787288916,16.8417735,Low
31-12-2003,Andhra Pradesh,294.3513431,14.57067461,20.20048949,Low
31-01-2004,Andhra Pradesh,275.5103884,16.07989479,22.02358222,Low
29-02-2004,Andhra Pradesh,21.39720992,1.913747921,21.01806098,Low
31-03-2004,Andhra Pradesh,156.9139298,7.530470127,13.02856954,Low
30-04-2004,Andhra Pradesh,244.9954146,8.821793517,19.35242265,Low
31-05-2004,Andhra Pradesh,263.2042321,0.446611174,11.09125747,Low
30-06-2004,Andhra Pradesh,111.5881433,8.85585876,20.79567876,Low
31-07-2004,Andhra Pradesh,147.7151052,17.59536799,17.11395185,High
